user_id,resource_id,rating,completion,goals,level,timestamp
user_001,res_038,3,0.83,linux machine_learning python,进阶,2026-03-06T21:00:00
user_001,res_028,2,0.53,linux machine_learning python,进阶,2026-03-11T07:00:00
user_001,res_048,4,0.84,linux machine_learning python,进阶,2026-04-05T00:00:00
user_001,res_002,4,0.72,linux machine_learning python,进阶,2026-04-15T06:00:00
user_001,res_062,2,0.57,linux machine_learning python,进阶,2026-04-15T11:00:00
user_001,res_035,2,0.83,linux machine_learning python,进阶,2026-04-18T02:00:00
user_001,res_007,4,0.72,linux machine_learning python,进阶,2026-04-24T10:00:00
user_001,res_003,4,0.81,linux machine_learning python,进阶,2026-04-28T20:00:00
user_001,res_029,2,0.51,linux machine_learning python,进阶,2026-05-17T00:00:00
user_001,res_006,4,1.0,linux machine_learning python,进阶,2026-05-19T11:00:00
user_001,res_009,4,0.96,linux machine_learning python,进阶,2026-05-29T17:00:00
user_001,res_058,2,0.76,linux machine_learning python,进阶,2026-06-02T14:00:00
user_001,res_044,3,0.62,linux machine_learning python,进阶,2026-06-06T10:00:00
user_002,res_018,3,0.62,linux math web_backend,实战,2026-03-18T16:00:00
user_002,res_035,4,0.66,linux math web_backend,实战,2026-04-10T12:00:00
user_002,res_011,2,0.8,linux math web_backend,实战,2026-04-28T04:00:00
user_002,res_030,2,0.52,linux math web_backend,实战,2026-05-11T17:00:00
user_002,res_036,4,0.82,linux math web_backend,实战,2026-05-16T14:00:00
user_002,res_016,3,0.67,linux math web_backend,实战,2026-05-23T15:00:00
user_002,res_045,4,0.72,linux math web_backend,实战,2026-05-27T13:00:00
user_002,res_022,2,0.55,linux math web_backend,实战,2026-06-07T01:00:00
user_002,res_041,4,0.97,linux math web_backend,实战,2026-06-19T03:00:00
user_002,res_025,2,0.66,linux math web_backend,实战,2026-06-23T18:00:00
user_002,res_047,3,0.62,linux math web_backend,实战,2026-06-29T18:00:00
user_003,res_011,2,0.62,career python web_backend,实战,2026-03-09T17:00:00
user_003,res_042,3,0.75,career python web_backend,实战,2026-03-26T04:00:00
user_003,res_030,3,0.59,career python web_backend,实战,2026-04-30T17:00:00
user_003,res_008,5,1.0,career python web_backend,实战,2026-05-02T00:00:00
user_003,res_035,5,0.88,career python web_backend,实战,2026-05-04T05:00:00
user_003,res_028,2,0.51,career python web_backend,实战,2026-05-12T02:00:00
user_003,res_001,4,0.88,career python web_backend,实战,2026-05-17T13:00:00
user_003,res_050,3,0.58,career python web_backend,实战,2026-05-20T09:00:00
user_003,res_047,3,0.93,career python web_backend,实战,2026-06-05T23:00:00
user_003,res_022,2,0.48,career python web_backend,实战,2026-06-08T16:00:00
user_003,res_019,2,0.57,career python web_backend,实战,2026-06-15T09:00:00
user_004,res_057,2,0.71,deep_learning linux nlp,进阶,2026-03-08T07:00:00
user_004,res_005,3,0.95,deep_learning linux nlp,进阶,2026-03-13T01:00:00
user_004,res_052,2,0.62,deep_learning linux nlp,进阶,2026-03-28T12:00:00
user_004,res_038,3,0.65,deep_learning linux nlp,进阶,2026-04-01T02:00:00
user_004,res_058,2,0.42,deep_learning linux nlp,进阶,2026-04-12T02:00:00
user_004,res_016,2,0.45,deep_learning linux nlp,进阶,2026-04-25T11:00:00
user_004,res_002,2,0.49,deep_learning linux nlp,进阶,2026-04-27T04:00:00
user_004,res_008,2,0.51,deep_learning linux nlp,进阶,2026-04-30T13:00:00
user_004,res_034,2,0.53,deep_learning linux nlp,进阶,2026-05-02T06:00:00
user_004,res_036,2,0.78,deep_learning linux nlp,进阶,2026-05-10T03:00:00
user_004,res_015,2,0.61,deep_learning linux nlp,进阶,2026-06-02T01:00:00
user_004,res_063,2,0.84,deep_learning linux nlp,进阶,2026-06-16T00:00:00
user_004,res_054,3,0.93,deep_learning linux nlp,进阶,2026-06-17T07:00:00
user_004,res_022,4,0.8,deep_learning linux nlp,进阶,2026-06-19T03:00:00
user_004,res_029,4,0.96,deep_learning linux nlp,进阶,2026-06-21T18:00:00
user_005,res_060,2,0.73,machine_learning nlp python,基础,2026-03-08T01:00:00
user_005,res_036,2,0.73,machine_learning nlp python,基础,2026-03-10T00:00:00
user_005,res_062,2,0.82,machine_learning nlp python,基础,2026-03-11T05:00:00
user_005,res_028,4,0.67,machine_learning nlp python,基础,2026-03-11T13:00:00
user_005,res_043,2,0.84,machine_learning nlp python,基础,2026-03-13T02:00:00
user_005,res_046,3,0.75,machine_learning nlp python,基础,2026-03-17T11:00:00
user_005,res_047,2,0.72,machine_learning nlp python,基础,2026-03-31T08:00:00
user_005,res_061,3,0.82,machine_learning nlp python,基础,2026-04-08T14:00:00
user_005,res_045,3,0.77,machine_learning nlp python,基础,2026-04-10T08:00:00
user_005,res_032,4,1.0,machine_learning nlp python,基础,2026-04-17T09:00:00
user_005,res_019,2,0.81,machine_learning nlp python,基础,2026-05-12T07:00:00
user_005,res_034,3,0.95,machine_learning nlp python,基础,2026-05-14T23:00:00
user_005,res_013,4,1.0,machine_learning nlp python,基础,2026-05-23T16:00:00
user_005,res_010,3,0.89,machine_learning nlp python,基础,2026-05-30T09:00:00
user_005,res_051,3,0.75,machine_learning nlp python,基础,2026-06-18T16:00:00
user_005,res_030,4,0.68,machine_learning nlp python,基础,2026-06-19T07:00:00
user_006,res_010,3,0.59,linux python web_backend,进阶,2026-03-17T01:00:00
user_006,res_019,3,0.62,linux python web_backend,进阶,2026-04-01T21:00:00
user_006,res_017,3,0.75,linux python web_backend,进阶,2026-04-02T01:00:00
user_006,res_008,3,0.71,linux python web_backend,进阶,2026-04-05T01:00:00
user_006,res_057,2,0.74,linux python web_backend,进阶,2026-05-21T08:00:00
user_006,res_018,2,0.56,linux python web_backend,进阶,2026-05-27T20:00:00
user_006,res_007,3,0.72,linux python web_backend,进阶,2026-05-30T13:00:00
user_006,res_064,3,0.92,linux python web_backend,进阶,2026-06-10T01:00:00
user_006,res_036,4,0.88,linux python web_backend,进阶,2026-06-15T11:00:00
user_006,res_039,3,0.87,linux python web_backend,进阶,2026-06-22T13:00:00
user_006,res_048,4,0.7,linux python web_backend,进阶,2026-06-29T22:00:00
user_007,res_052,4,1.0,deep_learning machine_learning math,基础,2026-03-05T03:00:00
user_007,res_057,3,0.61,deep_learning machine_learning math,基础,2026-03-06T22:00:00
user_007,res_062,2,0.83,deep_learning machine_learning math,基础,2026-03-15T12:00:00
user_007,res_045,2,0.7,deep_learning machine_learning math,基础,2026-03-16T23:00:00
user_007,res_048,3,0.9,deep_learning machine_learning math,基础,2026-03-29T00:00:00
user_007,res_027,3,0.58,deep_learning machine_learning math,基础,2026-04-03T05:00:00
user_007,res_060,3,0.7,deep_learning machine_learning math,基础,2026-04-05T02:00:00
user_007,res_012,4,1.0,deep_learning machine_learning math,基础,2026-04-14T09:00:00
user_007,res_004,3,0.55,deep_learning machine_learning math,基础,2026-04-30T07:00:00
user_007,res_051,4,1.0,deep_learning machine_learning math,基础,2026-05-08T10:00:00
user_007,res_022,4,0.77,deep_learning machine_learning math,基础,2026-05-22T16:00:00
user_007,res_011,3,0.72,deep_learning machine_learning math,基础,2026-05-25T10:00:00
user_007,res_007,3,0.75,deep_learning machine_learning math,基础,2026-05-25T13:00:00
user_007,res_018,4,1.0,deep_learning machine_learning math,基础,2026-06-03T21:00:00
user_007,res_043,2,0.56,deep_learning machine_learning math,基础,2026-06-09T10:00:00
user_007,res_016,4,0.87,deep_learning machine_learning math,基础,2026-06-12T17:00:00
user_008,res_044,4,0.75,career linux nlp,进阶,2026-03-26T04:00:00
user_008,res_036,2,0.43,career linux nlp,进阶,2026-04-01T03:00:00
user_008,res_028,4,0.85,career linux nlp,进阶,2026-04-03T07:00:00
user_008,res_017,3,0.79,career linux nlp,进阶,2026-04-11T14:00:00
user_008,res_040,2,0.72,career linux nlp,进阶,2026-04-19T15:00:00
user_008,res_012,3,0.56,career linux nlp,进阶,2026-04-23T20:00:00
user_008,res_048,3,0.64,career linux nlp,进阶,2026-04-30T19:00:00
user_008,res_019,2,0.72,career linux nlp,进阶,2026-05-04T13:00:00
user_008,res_013,2,0.7,career linux nlp,进阶,2026-05-05T15:00:00
user_008,res_043,4,0.77,career linux nlp,进阶,2026-05-24T20:00:00
user_008,res_001,2,0.75,career linux nlp,进阶,2026-05-25T16:00:00
user_008,res_037,2,0.47,career linux nlp,进阶,2026-05-28T00:00:00
user_008,res_027,5,1.0,career linux nlp,进阶,2026-06-03T05:00:00
user_008,res_025,4,0.69,career linux nlp,进阶,2026-06-05T07:00:00
user_008,res_054,3,0.79,career linux nlp,进阶,2026-06-05T14:00:00
user_008,res_026,4,0.74,career linux nlp,进阶,2026-06-11T22:00:00
user_008,res_020,3,0.9,career linux nlp,进阶,2026-06-22T03:00:00
user_008,res_014,3,0.77,career linux nlp,进阶,2026-06-23T05:00:00
user_009,res_010,3,0.82,career math web_backend,进阶,2026-03-11T20:00:00
user_009,res_019,3,0.86,career math web_backend,进阶,2026-04-18T15:00:00
user_009,res_005,2,0.5,career math web_backend,进阶,2026-04-23T12:00:00
user_009,res_018,3,0.94,career math web_backend,进阶,2026-04-23T17:00:00
user_009,res_021,2,0.53,career math web_backend,进阶,2026-05-02T00:00:00
user_009,res_029,2,0.59,career math web_backend,进阶,2026-05-09T14:00:00
user_009,res_022,3,0.76,career math web_backend,进阶,2026-05-17T07:00:00
user_009,res_046,3,0.78,career math web_backend,进阶,2026-05-29T00:00:00
user_009,res_036,3,0.83,career math web_backend,进阶,2026-05-30T06:00:00
user_009,res_016,2,0.56,career math web_backend,进阶,2026-06-05T12:00:00
user_009,res_035,4,0.94,career math web_backend,进阶,2026-06-11T12:00:00
user_009,res_009,3,0.76,career math web_backend,进阶,2026-06-25T12:00:00
user_009,res_006,3,0.89,career math web_backend,进阶,2026-06-26T04:00:00
user_010,res_063,3,0.58,machine_learning math nlp,基础,2026-03-04T09:00:00
user_010,res_025,4,0.97,machine_learning math nlp,基础,2026-03-07T11:00:00
user_010,res_014,5,1.0,machine_learning math nlp,基础,2026-03-26T00:00:00
user_010,res_034,3,0.89,machine_learning math nlp,基础,2026-04-02T02:00:00
user_010,res_018,2,0.8,machine_learning math nlp,基础,2026-04-18T12:00:00
user_010,res_062,2,0.82,machine_learning math nlp,基础,2026-04-29T22:00:00
user_010,res_030,4,0.75,machine_learning math nlp,基础,2026-04-30T21:00:00
user_010,res_022,2,0.57,machine_learning math nlp,基础,2026-05-17T19:00:00
user_010,res_021,2,0.44,machine_learning math nlp,基础,2026-05-23T01:00:00
user_010,res_049,4,0.96,machine_learning math nlp,基础,2026-06-08T05:00:00
user_011,res_003,5,0.89,nlp python web_backend,实战,2026-03-02T16:00:00
user_011,res_020,3,0.73,nlp python web_backend,实战,2026-03-20T13:00:00
user_011,res_060,3,0.64,nlp python web_backend,实战,2026-04-05T19:00:00
user_011,res_051,2,0.7,nlp python web_backend,实战,2026-04-13T00:00:00
user_011,res_050,3,0.58,nlp python web_backend,实战,2026-04-16T20:00:00
user_011,res_014,2,0.59,nlp python web_backend,实战,2026-04-17T02:00:00
user_011,res_037,4,0.79,nlp python web_backend,实战,2026-05-02T06:00:00
user_011,res_039,4,1.0,nlp python web_backend,实战,2026-05-15T08:00:00
user_011,res_055,2,0.63,nlp python web_backend,实战,2026-05-23T08:00:00
user_011,res_008,4,0.84,nlp python web_backend,实战,2026-06-05T14:00:00
user_011,res_044,3,0.93,nlp python web_backend,实战,2026-06-08T15:00:00
user_011,res_045,3,0.68,nlp python web_backend,实战,2026-06-17T13:00:00
user_011,res_052,2,0.52,nlp python web_backend,实战,2026-06-28T02:00:00
user_012,res_032,4,0.73,machine_learning nlp python,实战,2026-03-02T22:00:00
user_012,res_006,4,0.8,machine_learning nlp python,实战,2026-03-07T08:00:00
user_012,res_029,4,0.77,machine_learning nlp python,实战,2026-03-07T17:00:00
user_012,res_046,2,0.45,machine_learning nlp python,实战,2026-03-25T09:00:00
user_012,res_002,3,0.54,machine_learning nlp python,实战,2026-04-06T15:00:00
user_012,res_036,3,0.76,machine_learning nlp python,实战,2026-04-24T23:00:00
user_012,res_049,3,0.68,machine_learning nlp python,实战,2026-04-28T08:00:00
user_012,res_031,3,0.62,machine_learning nlp python,实战,2026-05-01T08:00:00
user_012,res_042,3,0.95,machine_learning nlp python,实战,2026-05-07T19:00:00
user_012,res_026,4,0.71,machine_learning nlp python,实战,2026-05-12T09:00:00
user_012,res_063,3,0.66,machine_learning nlp python,实战,2026-05-14T11:00:00
user_012,res_015,4,0.68,machine_learning nlp python,实战,2026-05-20T21:00:00
user_012,res_051,2,0.82,machine_learning nlp python,实战,2026-05-21T15:00:00
user_012,res_016,4,0.75,machine_learning nlp python,实战,2026-06-01T06:00:00
user_012,res_045,3,0.85,machine_learning nlp python,实战,2026-06-06T22:00:00
user_012,res_019,3,0.74,machine_learning nlp python,实战,2026-06-14T02:00:00
user_013,res_056,3,0.89,career machine_learning python,实战,2026-03-10T01:00:00
user_013,res_050,3,0.64,career machine_learning python,实战,2026-03-11T05:00:00
user_013,res_034,2,0.65,career machine_learning python,实战,2026-03-21T00:00:00
user_013,res_059,5,0.8,career machine_learning python,实战,2026-03-30T08:00:00
user_013,res_057,4,0.82,career machine_learning python,实战,2026-04-04T16:00:00
